Gene	NGr1	NGr2	NGr3	349r1	349r2	349r3
gene-ECD_00001	107	158	108	112	113	174
gene-ECD_00002	7420	5210	5429	6006	5268	6754
gene-ECD_00003	2605	2131	2029	2201	2032	2576
gene-ECD_00004	3729	2599	2576	2697	3015	3430
gene-ECD_00005	720	608	513	519	628	792
gene-ECD_00006	866	675	747	772	799	947
gene-ECD_00007	275	251	240	230	249	269
gene-ECD_00008	36339	27575	31743	31539	32982	37676
gene-ECD_00009	3160	2935	3020	2715	3067	3425
gene-ECD_00010	806	935	745	777	777	1026
gene-ECD_00011	42	64	36	47	55	103
gene-ECD_00012	0	0	0	0	0	0
gene-ECD_00013	22	29	22	19	27	51
gene-ECD_00014	68251	11114	23073	49244	23360	28536
gene-ECD_00015	5912	1218	2130	4332	2155	2312
gene-ECD_00016	105	18	38	86	41	47
gene-ECD_00017	53	48	61	65	53	46
gene-ECD_00018	887	685	690	690	750	939
gene-ECD_00019	271	186	186	200	272	252
gene-ECD_00020	18	6	10	11	18	23
gene-ECD_00021	14	7	12	8	18	13
gene-ECD_00022	2	3	3	2	6	5
gene-ECD_00023	0	0	0	0	0	0
gene-ECD_00024	0	0	0	0	0	0
gene-ECD_00025	2	4	1	2	2	10
gene-ECD_00026	25	21	12	11	13	21
gene-ECD_00027	1152	1564	1111	1521	952	1724
gene-ECD_00028	130	133	130	155	138	198
gene-ECD_00029	2442	2672	1829	1971	2443	2892
gene-ECD_00030	18813	13562	12512	15188	13072	17215
gene-ECD_00031	836	527	553	640	576	758
gene-ECD_00032	952	783	685	741	682	888
gene-ECD_00033	1842	1150	1129	1471	1221	1512
gene-ECD_00034	3133	2370	2885	2350	4543	3355
gene-ECD_00035	2159	1533	1905	1746	2245	2183
gene-ECD_00036	11669	8232	7705	9476	8830	12053
gene-ECD_00037	48677	19683	22069	36155	21475	27012
gene-ECD_00038	184	126	183	232	182	251
gene-ECD_00039	90	86	84	94	134	114
gene-ECD_00040	32	27	31	30	29	24
gene-ECD_00041	120	145	76	99	131	186
gene-ECD_00043	161	172	190	184	159	223
gene-ECD_00044	31	36	51	38	41	54
gene-ECD_00045	23	23	28	19	27	17
gene-ECD_00046	45	36	35	53	40	34
gene-ECD_00047	55	32	42	37	42	53
gene-ECD_00048	11	14	7	13	8	9
gene-ECD_00049	42	31	55	38	46	57
gene-ECD_00050	61	76	55	44	67	60
gene-ECD_00051	389	337	336	335	379	417
gene-ECD_00052	483	678	439	458	474	713
gene-ECD_00053	1688	2056	1570	1536	1858	1989
gene-ECD_00054	984	1015	776	749	903	1024
gene-ECD_00055	3192	3516	2571	2776	3221	3932
gene-ECD_00056	2365	2553	1641	2002	1995	3322
gene-ECD_00057	8710	8155	6560	7432	6668	10095
gene-ECD_00058	10622	9569	8350	7947	9990	11437
gene-ECD_00059	845	959	771	773	963	1202
gene-ECD_00060	561	548	430	531	510	628
gene-ECD_00061	1462	1396	981	1298	1215	1733
gene-ECD_00062	1027	1073	837	854	1024	1050
gene-ECD_00063	85	112	104	63	114	132
gene-ECD_00064	378	326	355	276	446	338
gene-ECD_00065	171	129	159	93	236	127
gene-ECD_00066	13	15	13	15	21	19
gene-ECD_00067	246	228	266	238	405	247
gene-ECD_00068	286	284	199	274	302	328
gene-ECD_00069	98	113	87	102	115	123
gene-ECD_00070	288	290	265	276	324	328
gene-ECD_00071	909	660	719	741	800	799
gene-ECD_00072	249	380	207	214	316	516
gene-ECD_00073	491	443	445	445	472	558
gene-ECD_00074	864	742	724	756	870	853
gene-ECD_00075	520	461	446	438	509	589
gene-ECD_00076	709	516	579	602	634	818
gene-ECD_00077	2	2	1	1	5	3
gene-ECD_00078	61	39	47	51	54	83
gene-ECD_00079	461	344	406	371	407	480
gene-ECD_00080	99	95	91	73	66	108
gene-ECD_00081	5715	4560	5456	4953	6566	5223
gene-ECD_00082	301	326	230	248	388	482
gene-ECD_00083	2155	2363	1892	1802	2505	2483
gene-ECD_00084	322	387	399	337	398	351
gene-ECD_00085	2222	2140	1817	1990	2314	2358
gene-ECD_00086	6192	5514	4822	5030	5642	6825
gene-ECD_00087	7788	6199	5601	5635	6353	7385
gene-ECD_00088	2454	1860	1824	2040	1960	2367
gene-ECD_00089	5766	4206	4227	4696	4965	5589
gene-ECD_00090	2553	2177	1962	2222	2226	3182
gene-ECD_00091	2164	2623	1955	1903	2217	2713
gene-ECD_00092	6639	6819	5786	5754	6689	7591
gene-ECD_00093	3511	3014	2836	2993	3403	3701
gene-ECD_00094	1851	2133	1543	1755	1801	2609
gene-ECD_00095	3865	3702	3307	3271	3944	4358
gene-ECD_00096	28040	20503	23345	23061	26127	26583
gene-ECD_00097	32582	23197	25894	23075	27454	28256
gene-ECD_00098	1218	2005	1176	1113	1479	1814
gene-ECD_00099	9400	10345	7726	8017	8586	13047
gene-ECD_00100	218	272	165	177	195	192
gene-ECD_00101	1041	970	909	995	828	1078
gene-ECD_00102	1321	1258	1109	979	1259	1297
gene-ECD_00103	312	475	297	251	352	488
gene-ECD_00104	4568	3133	3351	3611	3569	5008
gene-ECD_00105	183	322	229	201	306	394
gene-ECD_00106	416	557	427	445	549	656
gene-ECD_00107	33	54	16	24	26	63
gene-ECD_00108	1563	1324	1155	1247	1493	1763
gene-ECD_00109	1586	1126	1005	1327	1423	1998
gene-ECD_00110	1509	1250	1231	1191	1534	1827
gene-ECD_00111	2843	2546	2373	2358	2929	3197
gene-ECD_00112	7719	11067	7138	7839	5262	13525
gene-ECD_00113	219143	227801	181276	210584	162013	318863
gene-ECD_00114	132732	86760	85774	107187	98753	132039
gene-ECD_00115	90957	68899	75203	71586	77508	82316
gene-ECD_00116	330	362	347	340	396	403
gene-ECD_00117	90605	50243	55692	63013	57703	58467
gene-ECD_00118	298	221	214	239	240	320
gene-ECD_00119	4809	4238	3434	3780	4374	5360
gene-ECD_00120	3972	3182	2893	3045	3585	3661
gene-ECD_00121	660	872	648	595	807	971
gene-ECD_00122	3488	2131	2783	3128	2639	2840
gene-ECD_00123	4565	3334	2584	3500	2315	4246
gene-ECD_00124	1232	1185	1047	1032	1079	1494
gene-ECD_00125	5465	3622	3729	4098	4689	5080
gene-ECD_00126	2574	2668	2290	1908	2283	3117
gene-ECD_00127	1825	1609	1619	1309	1546	2279
gene-ECD_00128	1005	878	1117	874	1137	1138
gene-ECD_00129	1019	1239	906	898	1197	1504
gene-ECD_00130	1440	1293	1571	1394	1316	1380
gene-ECD_00131	172	172	134	151	194	213
gene-ECD_00132	4146	3431	3668	3282	4162	4207
gene-ECD_00133	3685	3396	3784	3167	3587	4038
gene-ECD_00134	76	46	44	62	58	90
gene-ECD_00135	11	11	8	14	5	12
gene-ECD_00136	35	27	28	18	27	33
gene-ECD_00137	30	24	26	33	29	25
gene-ECD_00138	24	23	18	13	21	33
gene-ECD_00139	6	1	5	2	4	12
gene-ECD_00140	8	10	5	5	5	19
gene-ECD_00141	153	184	123	125	179	138
gene-ECD_00142	1572	1687	1316	1311	1729	1717
gene-ECD_00143	381	387	389	319	462	503
gene-ECD_00144	3096	2373	3244	3039	3181	3077
gene-ECD_00145	2884	2203	2315	2653	3487	3362
gene-ECD_00146	517	501	403	394	549	546
gene-ECD_00147	1511	1353	1149	1124	1463	1513
gene-ECD_00148	3023	2796	2411	2556	2660	3303
gene-ECD_00149	2289	1213	980	2180	3651	1802
gene-ECD_00150	448	335	257	437	677	388
gene-ECD_00151	199	229	132	208	442	283
gene-ECD_00152	462	479	366	369	516	582
gene-ECD_00153	11879	7470	8842	9377	9068	9436
gene-ECD_00154	621	681	576	606	669	885
gene-ECD_00155	931	774	924	916	670	941
gene-ECD_00156	351	521	362	321	364	489
gene-ECD_00157	1126	1606	984	955	1209	1662
gene-ECD_00158	6853	5493	5618	5500	6004	7847
gene-ECD_00159	1323	1209	1154	1023	1418	1469
gene-ECD_00160	5290	2005	3214	4133	2491	3169
gene-ECD_00161	2604	1320	2187	2156	2296	1894
gene-ECD_00162	6095	3621	5742	6084	6373	4865
gene-ECD_00163	684	732	613	578	761	822
gene-ECD_00164	13605	11431	12180	11969	11881	13605
gene-ECD_00165	4274	4768	3762	4061	5145	5284
gene-ECD_00166	4612	3887	3195	3955	3932	5784
gene-ECD_00167	56090	31574	34991	45190	36486	50077
gene-ECD_00168	52188	27979	37059	45042	37380	42764
gene-ECD_00169	2913	1518	1749	2297	1814	2546
gene-ECD_00170	7954	5968	6339	6939	7136	8530
gene-ECD_00171	1713	1818	1447	1296	1788	1932
gene-ECD_00172	1878	1829	1514	1550	2055	2626
gene-ECD_00173	1081	917	838	1001	1130	1404
gene-ECD_00174	5522	6037	4401	4810	5580	7970
gene-ECD_00175	17185	13533	12104	13457	13204	18559
gene-ECD_00176	8311	5214	6126	7316	6662	7508
gene-ECD_00177	10367	7165	6584	7543	8130	8938
gene-ECD_00178	4275	3807	2632	3652	3801	6445
gene-ECD_00179	4072	2958	3126	3365	3455	3987
gene-ECD_00180	1349	1511	1116	1192	1355	1738
gene-ECD_00181	597	693	451	494	590	719
gene-ECD_00182	4109	4467	3144	3413	3486	4852
gene-ECD_00183	4243	2973	3172	3104	3173	3682
gene-ECD_00184	1334	1150	1238	1098	1387	1495
gene-ECD_00185	415	440	376	373	493	458
gene-ECD_00186	1693	1675	1416	1304	1894	2063
gene-ECD_00187	2553	1593	2487	2130	2920	2290
gene-ECD_00188	123	63	94	138	141	159
gene-ECD_00189	425	570	428	470	543	750
gene-ECD_00190	603	661	474	500	608	870
gene-ECD_00191	1378	1371	1288	1285	1470	1834
gene-ECD_00192	404	514	359	423	433	573
gene-ECD_00193	6539	4789	4472	4762	5031	5780
gene-ECD_00194	922	922	697	759	936	1010
gene-ECD_00195	1038	1004	935	840	1029	1071
gene-ECD_00196	8186	5487	6919	6545	7317	7303
gene-ECD_00197	1270	1124	1144	1026	1306	1531
gene-ECD_00198	1555	1052	1261	1234	1578	1493
gene-ECD_00199	3303	3032	2910	2922	3194	3970
gene-ECD_00200	730	692	653	622	681	820
gene-ECD_00201	2355	1660	2140	1838	2160	2367
gene-ECD_00202	4462	5056	4693	3573	5693	5499
gene-ECD_00203	1297	1645	1120	1081	1731	1917
gene-ECD_00204	1503	1495	1233	1297	1460	1752
gene-ECD_00205	1768	1578	1537	1415	1903	1798
gene-ECD_00206	1832	1737	1457	1560	1947	2409
gene-ECD_00207	674	850	641	679	787	1073
gene-ECD_00208	1752	1326	1442	1260	1688	1749
gene-ECD_00209	15	23	14	12	16	19
gene-ECD_00210	0	0	0	1	0	0
gene-ECD_00211	0	0	0	0	0	0
gene-ECD_00212	3	1	0	2	5	3
gene-ECD_00213	14	10	18	22	23	27
gene-ECD_00214	735	511	619	609	657	651
gene-ECD_00215	382	254	369	314	436	420
gene-ECD_00216	511	391	449	361	508	385
gene-ECD_00217	3396	2143	2791	2630	2961	2812
gene-ECD_00218	1845	1614	1795	1462	1872	1919
gene-ECD_00219	675	842	565	595	716	985
gene-ECD_00220	466	516	367	398	498	644
gene-ECD_00221	155	121	139	210	149	189
gene-ECD_00222	34	31	22	27	26	37
gene-ECD_00223	117	79	94	93	91	68
gene-ECD_00226	532	551	469	432	529	614
gene-ECD_00227	38	33	34	43	50	53
gene-ECD_00228	77	80	58	55	68	77
gene-ECD_00229	31	62	18	22	25	43
gene-ECD_00230	2	4	3	4	2	7
gene-ECD_00231	371	549	345	322	462	514
gene-ECD_00232	30052	26222	25228	24431	27928	34165
gene-ECD_00233	518	775	478	578	538	1015
gene-ECD_00234	4887	3437	3964	3848	4493	4295
gene-ECD_00235	6164	4562	5432	4917	5991	6188
gene-ECD_00236	52	22	47	39	56	32
gene-ECD_00237	0	0	0	0	0	0
gene-ECD_00238	13	14	8	16	14	11
gene-ECD_00239	2524	1976	1927	2031	2247	2360
gene-ECD_00240	2812	1985	1984	2111	2150	2408
gene-ECD_00241	191	297	203	226	209	365
gene-ECD_00242	208	289	188	203	227	294
gene-ECD_00243	96	97	105	110	128	132
gene-ECD_00244	29	30	30	20	41	38
gene-ECD_00245	22	21	16	22	20	23
gene-ECD_00246	3123	3061	2726	2813	3389	4002
gene-ECD_00247	99	245	118	151	194	342
gene-ECD_00248	161	157	154	133	174	229
gene-ECD_00249	367	374	338	346	364	505
gene-ECD_00250	287	312	274	304	319	366
gene-ECD_00251	45	29	36	15	36	31
gene-ECD_00252	35	48	32	44	58	69
gene-ECD_00253	19	13	11	15	19	17
gene-ECD_00254	4	8	6	10	3	5
gene-ECD_00255	89	61	52	52	36	53
gene-ECD_00256	15	12	14	4	7	17
gene-ECD_00257	165	132	155	154	217	197
gene-ECD_00258	3	5	5	0	6	2
gene-ECD_00259	0	0	3	1	5	0
gene-ECD_00260	54	42	71	47	60	61
gene-ECD_00261	39	33	47	42	82	41
gene-ECD_00262	1573	3358	2170	1972	2584	5345
gene-ECD_00263	2702	4176	3726	2562	4996	6187
gene-ECD_00264	522	722	790	453	862	774
gene-ECD_00265	14	16	18	9	16	18
gene-ECD_00266	94	66	63	66	86	79
gene-ECD_00267	6307	2701	4162	3927	4027	3252
gene-ECD_00268	4918	2067	3089	3074	3350	2553
gene-ECD_00269	1844	834	1159	1052	1386	1013
gene-ECD_00270	1368	577	1174	787	1144	702
gene-ECD_00271	140	86	105	80	135	140
gene-ECD_00272	287	332	326	256	386	367
gene-ECD_00273	8	9	3	4	5	6
gene-ECD_00274	256	172	203	224	210	283
gene-ECD_00275	26	33	20	27	34	36
gene-ECD_00276	118	89	88	95	104	122
gene-ECD_00277	144	143	127	100	154	154
gene-ECD_00278	119	103	96	107	116	125
gene-ECD_00279	494	378	423	391	456	488
gene-ECD_00280	463	304	358	284	395	419
gene-ECD_00281	4	6	1	2	4	3
gene-ECD_00282	74	53	72	80	117	82
gene-ECD_00283	342	190	340	333	367	221
gene-ECD_00284	318	231	420	354	332	310
gene-ECD_00285	74	56	74	66	114	93
gene-ECD_00286	66	73	67	50	84	79
gene-ECD_00287	73	47	45	48	61	64
gene-ECD_00288	54	68	51	59	61	73
gene-ECD_00289	76	92	82	89	83	104
gene-ECD_00290	209	97	143	181	121	176
gene-ECD_00291	1897	1364	1319	1378	1516	1796
gene-ECD_00292	293	213	240	264	242	288
gene-ECD_00293	72	87	73	62	77	81
gene-ECD_00294	85	69	67	53	63	50
gene-ECD_00295	49	69	60	57	76	47
gene-ECD_00296	42	57	38	21	59	51
gene-ECD_00297	103	101	124	87	160	111
gene-ECD_00298	573	555	767	374	1253	664
gene-ECD_00299	22	25	22	11	31	20
gene-ECD_00300	538	198	560	241	616	312
gene-ECD_00301	19	25	26	30	19	34
gene-ECD_00302	32	24	10	23	17	25
gene-ECD_00303	52	41	42	44	46	71
gene-ECD_00304	60	46	53	41	61	52
gene-ECD_00305	102	68	78	58	96	79
gene-ECD_00306	116	71	96	101	90	101
gene-ECD_00307	128	114	128	86	164	151
gene-ECD_00308	692	666	618	591	631	867
gene-ECD_00309	1149	675	745	753	764	869
gene-ECD_00310	2212	1028	1394	1475	1412	1464
gene-ECD_00311	206	125	139	220	173	174
gene-ECD_00312	223	224	226	182	240	291
gene-ECD_00313	2	2	3	1	2	2
gene-ECD_00314	0	0	0	0	0	0
gene-ECD_00315	262	156	180	193	246	197
gene-ECD_00316	259	139	198	234	245	213
gene-ECD_00317	104	34	76	86	87	72
gene-ECD_00318	634	441	459	571	531	529
gene-ECD_00319	7825	6457	6946	5758	5231	7791
gene-ECD_00320	0	3	0	0	1	2
gene-ECD_00321	559	403	474	468	492	549
gene-ECD_00322	16	5	13	10	14	8
gene-ECD_00323	639	613	574	532	830	795
gene-ECD_00324	303	242	203	248	271	321
gene-ECD_00325	995	716	826	773	885	1029
gene-ECD_00326	139	145	123	120	126	137
gene-ECD_00327	114	94	100	128	112	94
gene-ECD_00328	3414	2111	2581	2524	2964	2973
gene-ECD_00329	14	9	14	11	14	4
gene-ECD_00330	236	144	192	201	238	186
gene-ECD_00331	110	104	97	104	117	137
gene-ECD_00332	236	314	210	211	227	343
gene-ECD_00333	2491	1433	1738	1842	1817	1890
gene-ECD_00334	542	652	539	446	654	682
gene-ECD_00335	954	1032	863	955	1095	1199
gene-ECD_00336	649	796	557	671	704	872
gene-ECD_00337	200	262	160	165	275	279
gene-ECD_00338	2359	2641	3155	2547	2331	2547
gene-ECD_00339	71	98	70	95	99	114
gene-ECD_00340	8	7	8	13	6	18
gene-ECD_00341	4	5	1	2	3	8
gene-ECD_00342	617	533	489	442	577	630
gene-ECD_00343	806	648	765	667	907	893
gene-ECD_00344	362	329	322	288	396	379
gene-ECD_00345	1456	1303	998	1124	1086	1367
gene-ECD_00346	388	363	283	347	386	445
gene-ECD_00347	157	191	165	168	178	223
gene-ECD_00348	218	191	186	176	237	233
gene-ECD_00349	1331	1169	1189	1087	1133	1494
gene-ECD_00350	721	881	662	609	856	1012
gene-ECD_00351	841	862	715	821	910	1062
gene-ECD_00352	296	255	255	224	347	270
